Nombre del Tratado,Bilateral,Lugar de Adopcion,Fecha de Adopcion,Estados-Organismos,Temas,Naturaleza del Tratado,Depositario,Suscribio Por Colombia,Vigente,Fecha Ley Aprobatoria,Numero Ley Aprobatoria,Sentencia Fecha Ley,Sentencia Numero,Decreto Fecha Diario Oficial,Decreto Numero Diario Oficial
ACUERDO COLOMBO VENEZOLANO SOBRE PRODUCCION Y COMERCIALIZACION DE LA PAPA,SI,MARACAIBO,17/08/1993,VENEZUELA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),CESAR GAVIRIA TRUJILLO PRESIDENTE DE COLOMBIA,SI,(NO REGISTRA),(NO REGISTRA),17/08/1993,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO DE FINANCIACION ENTRE LA COMUNIDAD EUROPEA Y LA REPUBLICA DE COLOMBIA SISTEMA DE CAPACITACION MUNICIPAL,SI,BOGOTA,19/02/1998,COMUNIDAD EUROPEA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),MARIA EMMA MEJIA,NO,(NO REGISTRA),(NO REGISTRA),19/02/1998,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONSTITUCION DE LA ORGANIZACION INTERNACIONAL DE PROTECCION CIVIL,NO,MONACO,17/10/1966,ORGANIZACIÓN DE LA PROTECCION CIVIL-OIPC,(NO REGISTRA),TRATADO,ORGANIZACIÓN DE LA PROTECCION CIVIL-OIPC,(NO REGISTRA),NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
LA ENMIENDA AL INCISO F) DEL ARTICULO XVII DEL ACUERDO RELATIVO A LA ORGANIZACION INTERNACIONAL DE TELECOMUNICACIONES POR SATELITE INTELSAT HECHO EN WASHINGTON EL 20 DE AGOSTO DE 1971 APROBADA POR LA VIGESIMA ASAMBLEA DE LAS PARTES EN COPENHAGUE DINAMARCA EL 31 DE AGOSTO DE 1995 Y LA ENMIENDA A LOS INCISOS D)I)Y H) DEL ARITUCLO 6 Y F) DEL ARTICULO 22 DEL ACUERDO OPERATIVO DE LA ORGANIZACION DE TELECOMUNICACIONES POR SATELITE HECHO EN WASHINGTON  EL 20 DE AGOSTO DE 1971 APROBADO POR LA VIGESIMA QUINTA REUNION DE SIGNATARIOS EN SINGAPUR EL 4 DE ABRIL DE 1995,NO,SINGAPUR,31/08/1995,ORGANIZACION INTERNACIONAL DE TELECOMUNICACIONES POR SATELITE -INTELSAT,(NO REGISTRA),TRATADO,ESTADOS UNIDOS DE AMERICA,ALBERTO MORENO MEJIA,SI,23/12/1999,544 DE 1999,05/11/2001,C-1138/2000,15/07/2002,1472 DE 2002
"TRATADO DE LIBRE COMERCIO ENTRE LA REPUBLICA DE COLOMBIA Y LAS REPUBLICAS DE EL SALVADOR, GUATEMALA Y HONDURAS.",NO,MEDELLIN,09/08/2007,COLOMBIAHONDURASEL SALVADORGUATEMALA,(NO REGISTRA),TRATADO,(NO REGISTRA),ALVARO URIBE VELEZ,SI,30/07/2008,1241 DE 2008,12/11/2009,C-446/2009,08/06/2010,2051 DE 2010
ACUERDO DE COOPERACION ECONOMICA Y TECNICA ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBICA SOCIALISTA DE RUMANIA,SI,BOGOTA,26/09/1968,RUMANIA,(NO REGISTRA),TRATADO,(NO REGISTRA),ALFONSO LOPEZ MICHELSEN - MINISTRO DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO COMERCIAL Y DE PAGOS ENTRE EL GOBIERNO DE LA REPUBLICA DEMOCRATICA ALEMANA Y EL GOBIERNO DE LA REPUBLICA DE COLOMBIA.,SI,BOGOTA,06/12/1973,ALEMANIA,(NO REGISTRA),TRATADO,(NO REGISTRA),CARLOS BORDA MENDOZA SECRETARIO GENERAL DEL MINISTERIO DE RELACIONES EXTERIORES,NO,11/12/1975,42 DE 1975,03/02/1976,(NO REGISTRA),09/09/1985,2584 DE 1985
CONVENIO DE RECONOCIMIENTO MUTUO DE CERTIFICADOS TITULOS Y GRADOS ACADEMICOS DE EDUCACION SUPERIOR ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DEL PERU,SI,LIMA,26/04/1994,PERU,(NO REGISTRA),TRATADO,(NO REGISTRA),NOEMI SANIN DE RUBIO MINISTRA DE RELACIONES EXTERIORES,SI,07/02/2000,574 DE 2000,18/04/2002,C-1260/2000,15/07/2002,1469 DE 2002
CONVENIO NO. 15 POR EL CUAL SE FIJA LA EDAD MINIMA DE ADMISION DE LOS MENORES AL TRABAJO EN CALIDAD DE PAÑOLEROS O FOGONEROS,NO,GINEBRA,11/11/1921,ORGANIZACIÓN INTERNACIONAL DEL TRABAJO-OIT,(NO REGISTRA),TRATADO,ORGANIZACIÓN INTERNACIONAL DEL TRABAJO-OIT,(NO REGISTRA),NO,23/11/1931,129 DE 1931,20/06/1933,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO ENTRE LOS GOBIERNOS DE LA REPUBLICA DE COLOMBIA Y DE SURINAME SOBRE EL ESTABLECIMIENTO DE RELACIONES DIPLOMATICAS,SI,WASHINGTON DC,24/06/1978,SURINAME,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),JOSE JOAQUIN GORI - EMBAJADOR REPRESENTANTE PERMANENTE,SI,(NO REGISTRA),(NO REGISTRA),24/06/1978,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
TRATADO DE DERECHO PROCESAL INTERNACIONAL,NO,MONTEVIDEO,11/01/1889,ARGENTINABRASILCHILEPARAGUAYPERUURUGUAYBOLIVIA,(NO REGISTRA),TRATADO,URUGUAY,(NO REGISTRA),SI,11/11/1920,68 DE 1920,16/05/1921,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
"CANJE DE NOTAS QUE CONSTITUYE UN ACUERDO PARA TOMAR MEDIDAS CONDUCENTES QUE HAGAN POSIBLE LA CELEBRACION DE CONTRATOS DIRECTOS DE COMPRA VENTA DE CAFE, TABACO, BANANOS Y ARTICULOS VARIOS, ENTRE LOS IMPORTADORES DE LA REPUBLICA FEDERAL DE ALEMANIA Y LOS EXPORTADORES DE LA REPUBLICA DE COLOMBIA, EN LA CUANTIA INDICADA Y EN EL PERIODO SEÑALADO, LO MISMO QUE A PERMITIR LA IMPORTACION DE LOS CITADOS PRODUCTOS COLOMBIANOS A LA REPUBLICA FEDERAL DE ALEMANIA.",SI,BONN,27/08/1954,ALEMANIA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),JOSE DEL CARMEN MESA PRESIDENTE DE LA DELEGACION COMERCIAL COLOMBIANA,NO,(NO REGISTRA),(NO REGISTRA),27/08/1954,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA FEDERACION DE RUSIA SOBRE COOPERACION EN LA LUCHA CONTRA EL TRAFICO ILICITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTROPICAS Y DELITOS CONEXOS,SI,BOGOTA,26/11/1997,RUSIA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),(NO REGISTRA),SI,(NO REGISTRA),(NO REGISTRA),05/05/1999,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
"ACUERDO ENTRE EL INSTITUTO LATINOAMERICANO DE CIENCIAS FISCALIZADORAS ILACIF Y EL GOBIERNO DE LA REPUBLICA DE COLOMBIA, RELATIVO A LA SEDE DEL INSTITUTO LATINOAMERICANO DE CIENCIAS FISCALIZADORAS Y A SUS PRIVILEGIOS EN TERRITOTIO COLOMBIANO",NO,BOGOTA,27/08/1979,ORGANIZACIÓN LATINOAMERICANA Y DEL CARIBE DE ENTIDADES FISCALIZADORAS SUPERIORES-OLACEFS,(NO REGISTRA),TRATADO,(NO REGISTRA),DIEGO URIBE VARGAS- MINISTRO DE RELACIONES EXTERIORES,NO,08/05/1981,46 DE 1981,05/06/1981,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA EL SALVADOR SOBRE EL EJERCICIO DE ACTIVIDADES REMUNERADAS POR PARTE DE DEPENDIENTES DEL PERSONAL DIPLOMATICO CONSULAR ADMINISTRATIVO Y TECNICO,SI,BOGOTA,03/09/2004,EL SALVADOR,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),CAROLINA BARCO MINISTRA DE RELACIONES EXTERIORES,SI,(NO REGISTRA),(NO REGISTRA),17/02/2005,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO CONSTITUTIVO DEL BANCO CENTROAMERICANO DE INTEGRACION ECONOMICA,NO,MANAGUA,13/12/1960,BANCO CENTROAMERICANO DE INTEGRACION ECONOMICA-BCIE,(NO REGISTRA),TRATADO,SISTEMA DE INTEGRACION CENTROAMERICANA-SICA,(NO REGISTRA),SI,26/10/1995,213 DE 1995,18/03/1997,C-172 DE 1996,15/10/1999,2049 DE 1999
CARTA DE LA ORGANIZACION DE LOS ESTADOS AMERICANOS,NO,BOGOTA,30/04/1948,ORGANIZACIÓN DE LAS NACIONES UNIDAS-ONU,(NO REGISTRA),TRATADO,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,(NO REGISTRA),SI,05/12/1951,1 DE 1951,13/12/1951,(NO REGISTRA),26/07/1990,1640 DE 1990
ACUERDO ENTRE LA REPUBLICA DE COLOMBIA Y LA REPUBLICA PORTUGUESA SOBRE EL RECONOCIMIENTO MUTUO DE GRADOS Y TITULOS DE EDUCACION SUPERIOR,SI,LISBOA,15/11/2012,PORTUGAL,(NO REGISTRA),TRATADO,(NO REGISTRA),MARIA ANGELA HOLGUIN CUELLAR - MINISTRA DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO COMPLEMENTARIO ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DEL REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE REFERENTE A LA COOPERACION TECNICA PARA EL MEJORAMIENTO DE LA ENSEÑANZA DEL INGLES,SI,BOGOTA,26/04/1996,REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),RODRIGO PARDO GARCIA PEÑA - MINISTRO DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),26/04/1996,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
TRATADO SOBRE COOPERACION JUDICIAL MUTUA ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DE URUGUAY,SI,CARTAGENA DE INDIAS,10/06/1994,URUGUAY,(NO REGISTRA),TRATADO,(NO REGISTRA),ANDRES GONZALEZ DIAZ - MINISTRO DE JUSTICIA Y DEL DERECHO (AD REFERENDUM),NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO ENTRE LA REPUBLICA DE COLOMBIA Y LA CONFEDERACION SUIZA PARA EVITAR LA DOBLE IMPOSICION EN MATERIA DE IMPUESTOS SOBRE LA RENTA Y PATRIMONIO Y SU PROTOCOLO,SI,BERNA,26/10/2007,SUIZA,(NO REGISTRA),TRATADO,(NO REGISTRA),LUIS GUILLERMO PLATA,SI,31/07/2009,1344 DE 2009,01/01/2012,C-460/2010,06/03/2012,0469 DE 2012
ACUERDO COMPLEMENTARIO AL CONVENIO DE COOPERACION TECNICA Y CIENTIFICA ENTRE COLOMBIA Y ECUADOR SOBRE SANIDAD VEGETAL,SI,BOGOTA,26/03/1982,ECUADOR,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),CARLOS LEMOS SIMMONDS MINISTRO DE RELACIONES EXTERIORES,SI,(NO REGISTRA),(NO REGISTRA),26/03/1982,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE NOTAS RELATIVO A LOS TRANSPORTES MARITIMOS CELEBRADO ENTRE LA REPUBLICA DE COLOMBIA Y LA COMUNIDAD ECONOMICA EUROPEA,SI,BRUSELAS,10/06/1993,COMUNIDAD ECONÓMICA DEL CARBÓN Y EL ACEROCOMUNIDAD ECONÓMICA EUROPEACOMUNIDAD EUROPEA DE LA ENERGÍA ATÓMICA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),(NO REGISTRA),SI,(NO REGISTRA),(NO REGISTRA),10/06/1993,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
PROTOCOLO SOBRE CONSULTAS ENTRE EL MINISTERIO DE RELACIONES EXTERIORES DE LA REPUBLICA DE COLOMBIA Y EL MINISTERIO DE RELACIONES EXTERIORES DE LA FEDERACION DE RUSIA,SI,BOGOTA,01/07/1993,RUSIA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),ILEGIBLE,SI,(NO REGISTRA),(NO REGISTRA),01/07/1993,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE NOTAS QUE CONSTITUYE UN ACUERDO ENTRE EL GOBIERNO DE COLOMBIA Y EL GOBIERNO DE JAPON RELATIVO AL ESTUDIO SOBRE LA CONSERVACION Y DESARROLLO DE AGUAS SUBTERRANEAS PARA LA CIUDAD DE BOGOTA,SI,BOGOTA,31/08/2004,JAPON,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),(NO REGISTRA),SI,(NO REGISTRA),(NO REGISTRA),31/08/2004,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO DE COMPLEMENTACION ECONOMICA CONCERTADO ENTRE COLOMBIA Y CHILE (ACUERDO NO. 24) PRIMER PROTOCOLO ADICIONAL,SI,MONTEVIDEO,12/07/1994,CHILE,(NO REGISTRA),TRATADO,ASOCIACION LATINOAMERICANA DE INTEGRACION-ALADI,ANTONIO URDANETA GUERRERO - EMBAJADOR,SI,(NO REGISTRA),(NO REGISTRA),12/07/1994,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO ADMINISTRATIVO ENTRE LA REPUBLICA DE COLOMBIA Y LA REPUBLICA PERUANA PARA EL CONTROL LA PREVENCION Y LA REPRESION DEL USO Y TRAFICO ILICITO DE SUSTANCIAS ESTUPEFACIENTES Y SICOTROPICAS,SI,LIMA,30/03/1979,PERU,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),(NO REGISTRA),NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO DE COOPERACION TECNICA Y CIENTIFICA ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA CONFEDERACION SUIZA RELATIVO A LAS FACILIDADES OTORGADAS AL CUERPO SUIZO DE AYUDA HUMANITARIA EN CASO DE CATASTROFES,SI,BOGOTA,18/03/2003,SUIZA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),CAROLINA BARCO - MINISTRA DE RELACIONES EXTERIORES,SI,(NO REGISTRA),(NO REGISTRA),18/03/2003,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO DE AMISTAD Y COOPERACION ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DE SURINAME,SI,PARAMARIBO,11/11/1993,SURINAME,(NO REGISTRA),TRATADO,(NO REGISTRA),NOEMI SANIN DE RUBIO - MINISTRA DE RELACIONES EXTERIORES,SI,22/05/1996,280 DE 1996,06/11/2015,C-682/1996,(NO REGISTRA),(NO REGISTRA)
ACUERDO MARCO DE ASISTENCIA Y COOPERACION EN MATERIA MIGRATORIA ENTRE COLOMBIA Y PERU,SI,BOGOTA,06/03/2012,PERU,(NO REGISTRA),TRATADO,(NO REGISTRA),MARIA ANGELA HOLGUIN CUELLAR MINISTRA DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO COMERCIAL ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA CHECA,SI,BOGOTA,02/05/1995,CHECA REPUBLICA,(NO REGISTRA),TRATADO,(NO REGISTRA),ILEGIBLE,NO,27/12/1996,341 DE 1996,26/11/1997,C-323 DE 1997,10/11/1998,2268 DE 1998
TRATADO DE COMERCIO Y NAVEGACION ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DE CHILE,SI,SANTIAGO DE CHILE,27/11/1936,CHILE,(NO REGISTRA),TRATADO,(NO REGISTRA),JORGE SOTO DEL CORRAL MINISTRO DE RELACIONES EXTERIORES,NO,21/12/1940,107 DE 1940,11/08/1942,(NO REGISTRA),08/12/1942,2682 DE1942
ACUERDO ENTRE EL GOBIERNO DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DOMINICANA SOBRE LA IMPLEMENTACION DE UN MECANISMO DE INTERCAMBIO DE ALERTAS MIGRATORIAS,SI,WASHINGTON,18/03/2015,REPUBLICA DOMINICANA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),MINISTRA DE RELACIONES EXTERIORES - MARIA ANGELA HOLGUIN CUELLAR,NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO COMPLEMENTARIO GENERAL DE COOPERACION DEL CONVENIO BASICO DE COOPERACION CIENTIFICA Y TECNICA ENTRE LA REPUBLICA DE COLOMBIA Y EL REINO DE ESPAÑA,SI,MADRID,31/05/1988,ESPAÑA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),VIRGILIO BARCO PRESIDENTE DE LA REPUBLICA,SI,(NO REGISTRA),(NO REGISTRA),08/06/1989,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
PROTOCOLO EJECUTIVO DEL PROYECTO DE COOPERACION ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA ITALIANA PARA LA ASISTENCIA TECNICA Y LA FORMACION PROFESIONAL DE LOS CONTROLADORES DEL TRANSITO AEREO CIVIL Y LA TRANSFERENCIA DE TECNOLOGIA CON FINES DIDCATICOS,SI,BOGOTA,04/08/1986,ITALIA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),AUGUSTO RAMIREZ OCAMPO MINISTRO DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),04/08/1986,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE NOTAS QUE CONSTITUYEN UN ACUERDO SOBRE EL PROYECTO CONCERNIENTE AL ENVIO DE EXPERTOS VOLUNTARIOS BAJO EL PROGRAMA DE VOLUNTARIOS JAPONESES PARA LA COOPERACION EN ULTRAMAR ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DEL JAPON,SI,BOGOTA,04/01/1985,JAPON,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),AUGUSTO RAMIREZ OCAMPO - MINISTRO DE RELACIONES EXTERIORES,SI,(NO REGISTRA),(NO REGISTRA),04/01/1985,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO DE COOPERACION TECNICO MILITAR ENTRE LOS GOBIERNOS DE LA REPUBLICA DE COLOMBIA Y DE LA FEDERACION DE RUSIA,SI,BOGOTA,12/03/1996,RUSIA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),ILEGIBLE,SI,(NO REGISTRA),(NO REGISTRA),12/03/1996,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO DE DONACION DEL OBJETIVO ESTRATEGICO NO. 514-010 PARA ENTORNO SOCIAL Y ECONOMICO MEJORADO PARA LOS PROCESOS DE DESMOVILIZACION Y REINTEGRACION ENMIENDA NO. CATORCE ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LOS ESTADOS UNIDOS DE AMERICA,SI,BOGOTA,29/09/2014,ESTADOS UNIDOS DE AMERICA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),MINISTRA DE RELACIONES EXTERIORES - MARIA ANGELA HOLGUIN CUELLAR,SI,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO DE COOPERACION ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DEL ECUADOR EN LA ESFERA DE LA ACTIVIDAD MUSICAL,SI,BOGOTA,20/10/1999,ECUADOR,(NO REGISTRA),TRATADO,(NO REGISTRA),GUILLERMO FERNANDEZ DE SOTO MINISTRO DE RELACIONES EXTERIORES,SI,30/12/2003,867 DE 2003,28/02/2005,C-661/2004,17/05/2005,1548 DE 2005
CONVENIO ENTRE EL GOBIERNO EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA FEDERACION DE RUSIA SOBRE LAS CONDICIONES PARA LA SUPRESION DE LAS FORMALIDADES DE VISADO PARA LOS VIAJES MUTUOS DE NACIONALES DE LA REPUBLICA DE COLOMBIA Y NACIONALES DE LA FEDERACION DE RUSIA,SI,NUEVA YORK,24/09/2010,RUSIA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),(NO REGISTRA),SI,(NO REGISTRA),(NO REGISTRA),13/03/2011,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENCION SOBRE ORIENTACION PACIFICA DE LA ENSEÑANZA,NO,BUENOS AIRES,23/12/1936,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,(NO REGISTRA),TRATADO,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,(NO REGISTRA),SI,(NO REGISTRA),22 DE 1940,28/11/1940,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ADDENDUM NO.1 AL CONVENIO DE FINANCIACION ESPECIFICO ENTRE LA UNION EUROPEA Y LA REPUBLICA DE COLOMBIA PROYECTO ASISTENCIA TECNICA AL COMERCIO EN COLOMBIA,SI,BRUSELAS - BOGOTA,24/06/2011,UNIÓN EUROPEA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),MARIA ANGELA HOLGUIN CUELLAR,SI,(NO REGISTRA),(NO REGISTRA),24/06/2011,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
PROTOCOLO DE ENMIENDA AL TRATADO DE COOPERACION AMAZONICA,NO,CARACAS,14/12/1998,BOLIVIABRASILCOLOMBIAECUADORGUYANAPERUSURINAMEVENEZUELAORGANIZACIÓN DEL TRATADO DE COOPERACION AMAZONICA-OTCA,(NO REGISTRA),TRATADO,BRASIL,LUIS GUILLERMO GIRALDO HURTADO - EMBAJADOR DE COLOMBIA EN LA REPUBLICA DE VENEZUELA,SI,17/09/2001,690 DE 2001,02/08/2002,C-335 DE 2002,(NO REGISTRA),(NO REGISTRA)
CONVENIO INTERNACIONAL SOBRE ARQUEO DE BUQUES,NO,LONDRES,23/06/1969,ORGANIZACIÓN MARITIMA INTERNACIONAL-OMI,(NO REGISTRA),TRATADO,ORGANIZACIÓN MARITIMA INTERNACIONAL-OMI,(NO REGISTRA),NO,30/09/1974,5 DE 1974,18/07/1982,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO DE COLABORACION TURISTICA ENTRE LA REPUBLICA DE COLOMBIA Y REPUBLICA DOMINICANA,SI,BOGOTA,21/05/2013,REPUBLICA DOMINICANA,(NO REGISTRA),TRATADO,(NO REGISTRA),MINISTRA DE RELACIONES EXTERIORES - MARIA ANGELA HOLGUIN,NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE NOTAS QUE CONSTITUYE UN ACUERDO REFERENTE A LA PRORROGA POR CINCO AÑOS DEL CONVENIO SOBRE SECUENTRO DE NAVES AEREAS Y MARITIMA Y OTROS DELITOS ENTRE LOS GOBIERNOS DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DE CUBA,SI,BOGOTA,09/10/1989,CUBA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),JULIO LONDOÑO PAREDES MINISTRO DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),09/10/1989,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENCION SOBRE MANTENIMIENTO AFIANZAMIENTO Y RESTABLECIMIENTO DE LA PAZ,NO,BUENOS AIRES,23/12/1936,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,(NO REGISTRA),TRATADO,ARGENTINA,(NO REGISTRA),SI,17/11/1937,109 DE 1937,10/02/1938,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE  NOTAS QUE CONSTITUYE UN ACUERDO CONCERNIENTE AL SUMINISTRO DE LOS INSTRUMENTOS MUSICALES PARA LA FUNDACION NACIONAL DE ORQUESTAS SINFONICAS JUVENILES E INFANTILES BATUTA A TRAVES DE LA PRESIDENCIA DE LA REPUBLICA DE COLOMBIA ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE JAPON,SI,BOGOTA,11/12/1992,JAPON,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),NOEMI SANIN DE RUBIO - MINISTRA DE RELACIONES EXTERIORES,SI,(NO REGISTRA),(NO REGISTRA),11/12/1992,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONSTITUCION DE LA UNION INTERNACIONAL DE TELECOMUNICACIONES Y EL PROTOCOLO FACULTATIVO SOBRE LA SOLUCION OBLIGATORIA DE CONTROVERSIAS RELACIONADAS CON LA CONSTITUCION DE LA UNION INTERNACIONAL DE TELECOMUNICACIONES Y LOS REGLAMENTOS ADMINISTRATIVOS,NO,GINEBRA,22/12/1992,UNION INTERNACIONAL DE TELECOMUNICACIONES-UIT,(NO REGISTRA),TRATADO,UNION INTERNACIONAL DE TELECOMUNICACIONES-UIT,(NO REGISTRA),SI,29/12/1995,252 DE 1995,02/04/1997,C- 382 DE 1996,15/10/1999,2060 DE 1999
