Nombre del Tratado,Bilateral,Lugar de Adopcion,Fecha de Adopcion,Estados-Organismos,Temas,Naturaleza del Tratado,Depositario,Suscribio Por Colombia,Vigente,Fecha Ley Aprobatoria,Numero Ley Aprobatoria,Sentencia Fecha Ley,Sentencia Numero,Decreto Fecha Diario Oficial,Decreto Numero Diario Oficial
ACUERDO DE TRANSPORTE AEREO ENTRE LA REPUBLICA DE COLOMBIA Y LA REPUBLICA PORTUGUESA,SI,LISBOA,15/11/2012,PORTUGAL,(NO REGISTRA),TRATADO,(NO REGISTRA),MARIA ANGELA HOLGUIN CUELLAR - MINISTRA DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
PROTOCOLO ADICIONAL NO. 1 QUE MODIFICA EL CONVENIO PARA LA UNIFICACION DE CIERTAS REGLAS RELATIVAS AL TRANSPORTE AEREO INTERNACIONAL FIRMADO EN VARSOVIA EL 12 DE OCTUBRE DE 1929,NO,MONTREAL,25/09/1975,ORGANIZACIÓN DE AVIACION CIVIL INTERNACIONAL-OACI,(NO REGISTRA),TRATADO,POLONIA,(NO REGISTRA),SI,05/03/1980,19 DE 1980,15/02/1996,(NO REGISTRA),15/10/1999,2059 DE 1999
ACUERDO DE COOPERACION INTERNACIONAL ENTRE EL GOBIERNO DE COLOMBIA Y LA UNESCO RELATIVO AL CENTRO REGIONAL PARA EL FOMENTO DEL LIBRO EN AMERICA LATINA,NO,BOGOTA,23/04/1971,CENTRO REGIONAL PARA EL FOMENTO DEL LIBRO EN AMERICA LATINA Y EL CARIBE-CERLALC,(NO REGISTRA),TRATADO,CENTRO REGIONAL PARA EL FOMENTO DEL LIBRO EN AMERICA LATINA Y EL CARIBE-CERLALC,MISAEL PASTRANA BORRERO,NO,14/12/1971,27 DE 1971,23/04/1973,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE NOTAS QUE CONSTITUYE UN ACUERDO ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LOS ESTADOS UNIDOS SOBRE EL MUTUO PERMISO PARA VOLAR AERONAVES COMERCIALES,SI,WASHINGTON,23/02/1929,ESTADOS UNIDOS DE AMERICA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),ENRIQUE OLAYA HERRERA MINISTRO DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),23/02/1929,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO DE TRANSPORTE AEREO ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DE LOS ESTADOS UNIDOS DE AMERICA,SI,BOGOTA,10/05/2011,ESTADOS UNIDOS DE AMERICA,(NO REGISTRA),TRATADO,(NO REGISTRA),MARIA ANGELA HOLGUIN CUELLAR - MINISTRA DE RELACIONES EXTERIORES,SI,21/12/2012,1600 DE 2012,06/05/2014,C-132 DE 2014,22/07/2014,1374 DE 2014
ACUERDO DE COOPERACION Y ASISTENCIA JUDICIAL EN MATERIA PENAL ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DE VENEZUELA,SI,CARACAS,20/02/1998,VENEZUELA,(NO REGISTRA),TRATADO,(NO REGISTRA),MARIA EMMA MEJIA - MINISTRA DE RELACIONES EXTERIORES,SI,02/02/2000,567 DE 2000,01/02/2001,C-1259/2000,11/05/2001,881 DE 2001
TRATADO DE AMISTAD NAVEGACION Y COMERCIO ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL REINO UNIDO DE GRAN BRETAÑA,SI,BOGOTA,01/04/1825,REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE,(NO REGISTRA),TRATADO,(NO REGISTRA),PEDRO GUAL - SECRETARIO DE ESTADO Y DEL DESPACHO DE RELACIONES EXTERIORES Y PEDRO BRICEÑO MENDEZ - GENERAL,NO,(NO REGISTRA),(NO REGISTRA),07/11/1825,(NO REGISTRA),23/05/1825,(NO REGISTRA)
CANJE DE NOTAS QUE CONSTITUYEN UN ACUERDO ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE JAPON RELATIVO A UN CUPO ADICIONAL PARA UN VEHICULO DE USO OFICIAL PARA LA AGENCIA DE COOPERACION INTERNACIONAL DEL JAPON JICA,SI,BOGOTA,22/02/1988,JAPON,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),FERNANDO CEPEDA ULLOA,SI,(NO REGISTRA),(NO REGISTRA),22/02/1988,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
PROTOCOLO DE ENMIENDA AL ACUERDO LATINOAMERICANO DE COPRODUCCION CINEMATOGRAFICA,NO,BOGOTA,14/07/2006,CONFERENCIA DE AUTORIDADES CINEMATOGRAFICAS DE IBEROAMERICA (CACI),(NO REGISTRA),TRATADO,VENEZUELA,DAVID MELO TORRES - DIRECTOR CINEMATOGRAFIA DEL MINISTERIO DE CULTURA,SI,26/12/2008,1262 DE 2008,(NO REGISTRA),C-639/2009,(NO REGISTRA),(NO REGISTRA)
ACUERDO MARCO DE COOPERACION ENTRE LA REPUBLICA DE COLOMBIA Y EL REINO DE ESPAÑA,SI,MADRID,03/03/2015,ESPAÑA,(NO REGISTRA),TRATADO,(NO REGISTRA),MINISTRA DE RELACIONES EXTERIORES - MARIA ANGELA HOLGUIN CUELLAR,NO,05/11/2022,2274 DE 2022,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
